,Name,Position,Current Team,Type,All Teams
0,Larry Fitzgerald,WR,ARI,Power Up,ARI
1,David Johnson,HB,ARI,Power Up,ARI
2,Patrick Peterson,CB,ARI,Power Up,ARI
3,Devonta Freeman,HB,ATL,Power Up,ATL
4,Deion Jones,MLB,ATL,Power Up,ATL
5,Julio Jones,WR,ATL,Power Up,ATL
6,Matt Ryan,QB,ATL,Power Up,ATL
7,Desmond Trufant,CB,ATL,Power Up,ATL
8,Alex Mack,C,ATL,Power Up,"ATL,CLE"
9,Jimmy Smith,CB,BAL,Power Up,BAL
10,Terrell Suggs,ROLB,BAL,Power Up,BAL
11,Marshal Yanda,RG,BAL,Power Up,BAL
12,Micah Hyde,SS,BUF,Power Up,"BUF,GB"
13,Luke Kuechly,MLB,CAR,Power Up,CAR
14,Cam Newton,Qb,CAR,Power Up,CAR
15,Kawann Short,DT,CAR,Power Up,CAR
16,Daryl Williams,RT,CAR,Power Up,CAR
17,Greg Olsen,TE,CAR,Power Up,"CAR,CHI"
18,Adrian Amos,SS,CHI,Power Up,CHI
19,Jordan Howard,HB,CHI,Power Up,CHI
20,Danny Trevathan,MLB,CHI,Power Up,"CHI,DEN"
21,Geno Atkins,DT,CIN,Power Up,CIN
22,AJ Green,WR,CIN,Power Up,CIN
23,Joel Bitonio,LG,CLE,Power Up,CLE
24,Kevin Zeitler,RG,CLE,Power Up,"CLE,CIN"
25,Jarvis Landry,WR,CLE,Power Up,"CLE,MIA"
26,Ezekiel Elliot,HB,DAL,Power Up,DAL
27,Travis Frederick,C,DAL,Power Up,DAL
28,Sean Lee,ROLB,DAL,Power Up,DAL
29,Zack Martin,RG,DAL,Power Up,DAL
30,Tyron Smith,LT,DAL,Power Up,DAL
31,Chris Harris Jr,CB,DEN,Power Up,DEN
32,Von Miller,LOLB,DEN,Power Up,DEN
33,Demaryius Thomas,WR,DEN,Power Up,DEN
34,Darius Slay Jr,CB,DET,Power Up,DET
35,Matthew Stafford,QB,DET,Power Up,DET
36,Golden Tate III,WR,DET,Power Up,"DET,SEA"
37,Davante Adams,WR,GB,Power Up,GB
38,David Bakhtiari,LT,GB,Power Up,GB
39,Kenny Clark,DT,GB,Power Up,GB
40,Aaron Rodgers,QB,GB,Power Up,GB
41,Ha Ha Clinton-Dix,FS,GB,Power Up,GB
42,Jimmy Graham,TE,GB,Power Up,"GB,NO,SEA"
43,Jadeveon Clowney,ROLB,HOU,Power Up,HOU
44,DeAndre Hopkins,WR,HOU,Power Up,HOU
45,JJ Watt,LE,HOU,Power Up,HOU
46,Tyrann Mathieu,FS,HOU,Power Up,"HOU,ARI"
47,TY Hilton,WR,IND,Power Up,IND
48,Andrew Luck,QB,IND,Power Up,IND
49,Jabaal Sheard,RE,IND,Power Up,"IND,CLE,NE"
50,Leonard Fournette,HB,JAX,Power Up,JAX
51,Myles Jack,LOLB,JAX,Power Up,JAX
52,Jalen Ramsey,CB,JAX,Power Up,JAX
53,Telvin Smith,ROLB,JAX,Power Up,JAX
54,Calais Campbell,LE,JAX,Power Up,"JAX,ARI"
55,Andrew Norwell,LG,JAX,Power Up,"JAX,CAR"
56,AJ Bouye,CB,JAX,Power Up,"JAX,HOU"
57,Eric Berry,SS,KC,Power Up,KC
58,Tyreek Hill,WR,KC,Power Up,KC
59,Justin Houston,LOLB,KC,Power Up,KC
60,Kareen Hunt,HB,KC,Power Up,KC
61,Travis Kelce,TE,KC,Power Up,KC
62,Patrick Mahomes,QB,KC,Power Up,KC
63,Keenan Allan,WR,LAC,Power Up,LAC
64,Joey Bosa,LE,LAC,Power Up,LAC
65,Melvin Gordon,HB,LAC,Power Up,LAC
66,Hunter Henry,TE,LAC,Power Up,LAC
67,Melvin Ingram,RE,LAC,Power Up,LAC
68,Casey Hayward,CB,LAC,Power Up,"LAC,GB"
69,Aaron Donald,DT,LAR,Power Up,LAR
70,Todd Gurley II,HB,LAR,Power Up,LAR
71,Lamarcus Joyner,FS,LAR,Power Up,LAR
72,Ndamukong Suh,DT,LAR,Power Up,"LAR,DET,MIA"
73,Marcus Peters,CB,LAR,Power Up,"LAR,KC"
74,Reshad Jones,SS,MIA,Power Up,MIA
75,Josh Sitton,LG,MIA,Power Up,"MIA,GB,CHI"
76,Anthony Barr,ROLB,MIN,Power Up,MIN
77,Stefon Diggs,WR,MIN,Power Up,MIN
78,Everson Griffen,RE,MIN,Power Up,MIN
79,Xavier Rhodes,CB,MIN,Power Up,MIN
80,Harrison Smith,FS,MIN,Power Up,MIN
81,Adam Thielen,WR,MIN,Power Up,MIN
82,Linval Joseph,DT,MIN,Power Up,"MIN,NYG"
83,Aeneas Williams,CB,-,Legend PU,",ARI,LAR"
